className, methodName, marks
class tests.ReplyTest,testReplyUserString,5.0
class tests.UserTest,testMoreFollowers,5.0
class tests.UserTest,testUser,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testModifyMessage,5.0
class tests.ReplyTest,testReplyString,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testModifyMessage,5.0
class tests.TweetTest,testMostPopularReply,4.0
class tests.TweetTest,testGetReply,4.0
class tests.UserTest,testMoreFollowers,5.0
class tests.UserTest,testUser,5.0
class tests.UserTest,testMoreFollowers,5.0
class tests.UserTest,testUser,5.0
class tests.ReplyTest,testReplyString,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testModifyMessage,5.0
class tests.TweetTest,testMostPopularReply,4.0
class tests.TweetTest,testGetReply,4.0
class tests.TweetTest,testTotalViews,4.0
class tests.TweetTest,testGetMessage,4.0
class tests.TweetTest,testMostPopularReply,4.0
class tests.TweetTest,testGetReply,4.0
class tests.TweetTest,testTotalViews,4.0
class tests.TweetTest,testGetMessage,4.0
class tests.TweetTest,testMostPopularReply,4.0
class tests.TweetTest,testGetReply,4.0
class tests.TweetTest,testTotalViews,4.0
class tests.TweetTest,testGetMessage,4.0
class tests.TweetTest,testMostPopularReply,4.0
class tests.TweetTest,testGetReply,4.0
class tests.TweetTest,testTotalViews,4.0
class tests.TweetTest,testGetMessage,4.0
class tests.TweetTest,testFindReplyFrom,4.0
class tests.TweetTest,testMostPopularReply,4.0
class tests.TweetTest,testGetReply,4.0
class tests.TweetTest,testTotalViews,4.0
class tests.TweetTest,testGetMessage,4.0
class tests.TweetTest,testFindReplyFrom,4.0
class tests.ReplyTest,testReplyString,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testModifyMessage,5.0
class tests.ReplyTest,testReplyString,5.0
class tests.ReplyTest,testCompareTo,5.0
class tests.ReplyTest,testReplyUserString,5.0
class tests.ReplyTest,testModifyMessage,5.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testMostTweets,2.0
class tests.TweetTest,testMostPopularReply,4.0
class tests.TweetTest,testGetReply,4.0
class tests.TweetTest,testTotalViews,4.0
class tests.TweetTest,testGetMessage,4.0
class tests.TweetTest,testFindReplyFrom,4.0
class tests.TweetTest,testMostPopularReply,4.0
class tests.TweetTest,testGetReply,4.0
class tests.TweetTest,testTotalViews,4.0
class tests.TweetTest,testGetMessage,4.0
class tests.TweetTest,testFindReplyFrom,4.0
class tests.TimelineTest,testGetAllTweetsByTimelineOwner,2.0
class tests.TimelineTest,testMostTweets,2.0
